Alpha,Ccb
-79.9634,0.644810
-77.0113,0.643349
-74.3731,0.652732
-72.2024,0.666751
-70.3434,0.683862
-68.7975,0.708715
-51.0473,1.08755
-49.5008,1.11086
-47.9516,1.12486
-45.7790,1.13268
-39.8766,1.13596
-37.8561,1.13292
-35.0583,1.12835
-33.1913,1.11910
-31.7889,1.10519
-30.8520,1.08972
-23.8069,0.911634
-23.1817,0.899249
-21.9361,0.889985
-20.5351,0.880725
-18.6699,0.877681
1.37089,0.876738
9.29381,0.876978
12.0916,0.872412
14.4247,0.863180
16.7592,0.849297
18.3174,0.833841
19.5659,0.815274
24.8955,0.658844
25.9887,0.640272
27.0785,0.632553
28.4767,0.632595
29.8725,0.640390
31.4198,0.660592
40.7031,0.784906
41.7887,0.791141
43.9636,0.791207
45.2079,0.786593
46.4549,0.772678
51.1410,0.689098
53.0170,0.650394
54.4204,0.633382
56.1325,0.622581
58.3089,0.617996
60.7950,0.616521
64.0597,0.608868
66.8589,0.599650
69.6599,0.584231
72.3061,0.567257
74.3313,0.548714
76.2012,0.530165
77.9157,0.511612
79.4763,0.488403
80.7248,0.469836
82.7543,0.437339
84.9405,0.400196
86.9729,0.358396
88.6935,0.319688
90.1026,0.284071
91.2004,0.249996
92.6108,0.209728
93.7049,0.188055
94.9539,0.167938
96.3568,0.152476
97.7587,0.140115
99.4718,0.126214
101.339,0.115417
104.139,0.103099
106.939,0.0938815
109.892,0.0893199
112.690,0.0816527
115.954,0.0786509
119.529,0.0710073
122.949,0.0633590
125.748,0.0541414
128.082,0.0449097
130.259,0.0356733
132.282,0.0248818
133.683,0.0156218
135.707,0.00172947