Alpha, Cnp10beta
-49.986, 0.000
-47.526, 0.016
-46.210, 0.025
-45.022, 0.044
-43.275, 0.086
-40.807, 0.152
-39.610, 0.174
-37.492, 0.181
-35.388, 0.185
-33.461, 0.183
-31.868, 0.178
-29.803, 0.169
-27.257, 0.160
-25.031, 0.151
-22.971, 0.140
-19.326, 0.122
-15.056, 0.098
-11.264, 0.075
-7.947, 0.055
-4.616, 0.040
0.000, 0.000
5.031, -0.015
8.048, -0.028
11.862, -0.044
15.838, -0.060
20.141, -0.074
24.924, -0.088
29.393, -0.101
33.865, -0.112
35.947, -0.116
37.888, -0.113
39.673, -0.109
41.316, -0.098
42.643, -0.086
44.040, -0.053
45.076, -0.031
46.083, -0.018
47.566, -0.008
49.523, 0.000